publishno,bathrooms,squaremeters,rooms,cost,squaremeter_price,avg_squaremeter_total,address,url
#816535548,2,84.55,3,16500,195.15,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-816535548
#818853772,2,77.0,3,19000,246.75,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-818853772
#813034070,2,92.0,3,19500,211.96,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-813034070
#817295432,3,116.0,4,20000,172.41,440.31,"Barquisimeto, Centro, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817295432
#819789522,2,82.0,3,20000,243.9,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819789522
#819615338,2,82.0,3,20000,243.9,440.31,"Av. Florencio Jiménez, Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819615338
#819554082,2,84.0,3,21000,250.0,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819554082
#817237308,2,104.0,3,22000,211.54,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817237308
#818947688,2,87.0,3,25000,287.36,440.31,"3ph2+pwf, C. 10, Barquisimeto 3001, Lara, Venezuela, Centro, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-818947688
#820675198,2,95.0,3,27000,284.21,440.31,"Barquisimeto, Del Este, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-820675198
#819563450,2,124.0,3,28000,225.81,440.31,"Urb. Del Este, Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819563450
#811703590,2,121.0,3,30000,247.93,440.31,"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-811703590
#819100614,2,96.0,3,32000,333.33,440.31,"Urbanización Patarata, Barquisimeto, Patarata, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819100614
#820000974,2,82.0,3,32000,390.24,440.31,"3pvc+m6p, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-820000974
#819834580,2,96.0,3,32000,333.33,440.31,"Urbanización Patarata, Barquisimeto, Patarata, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819834580
#815917542,2,113.73,3,33000,290.16,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-815917542
#813567474,2,95.0,3,33000,347.37,440.31,"Avenida Libertador, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-813567474
#813242186,2,95.0,3,33000,347.37,440.31,"Avenida Libertador, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-813242186
#811198796,2,82.0,3,34000,414.63,440.31,"Avenida Pedro León Torres, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-811198796
#810239390,2,88.0,3,35000,397.73,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-810239390
#817659124,3,132.0,4,37000,280.3,440.31,"Av. Los Leones, Barquisimeto, Otros, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817659124
#815853064,3,131.0,4,37950,289.69,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-815853064
#819635460,2,95.0,3,38000,400.0,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819635460
#814735478,2,92.0,3,38000,413.04,440.31,"Urbanización Santa Elena, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-814735478
#817519406,2,92.0,3,38000,413.04,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817519406
#819763516,2,95.0,3,38000,400.0,440.31,"3m84+78q, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819763516
#767413025,2,129.0,4,39000,302.33,440.31,"Centro Metropolitano Javier, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-767413025
#817957342,2,129.0,4,39000,302.33,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817957342
#818773326,2,92.0,3,39000,423.91,440.31,"3m9c+ch7, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-818773326
#817752642,2,141.75,4,39500,278.66,440.31,"3j5w+vm9, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817752642
#767633929,3,120.0,4,42000,350.0,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-767633929
#768203007,3,133.0,3,45000,338.35,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-768203007
#818691192,3,143.0,4,47000,328.67,440.31,"3pc4+w26, Av. Concordia, Carrera 24, Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-818691192
#767143991,6,380.0,5,140000,368.42,440.31,"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-767143991
